Date,Open,High,Low,Close,,OpenToHigh%,OpenToLow%,OpenToClose%,OpenToHigh,OpenToLow,OpenToClose
08-Dec-20,30300.3,30363.8,30025.2,30261.9,,0.209568882,-0.907911803,-0.126731419,63.5,-275.1,-38.4
07-Dec-20,30062.6,30354.2,29950.6,30211.55,,0.969975983,-0.372555933,0.495466127,291.6,-112,148.95
04-Dec-20,29573.4,30162.3,29473.5,30052.4,,1.991316521,-0.337803567,1.619698783,588.9,-99.9,479
03-Dec-20,29728.9,29813,29379.4,29448.75,,0.282889713,-1.17562372,-0.942349027,84.1,-349.5,-280.15
02-Dec-20,29876.7,29886.25,29149.9,29463.15,,0.031964708,-2.432664919,-1.384189017,9.55,-726.8,-413.55
01-Dec-20,29844.8,29919.75,29511,29817.85,,0.251132526,-1.118452796,-0.090300488,74.95,-333.8,-26.95
27-Nov-20,29622,29716.85,29368.7,29609.05,,0.320201202,-0.85510769,-0.043717507,94.85,-253.3,-12.95
26-Nov-20,29370.4,29623,28923.1,29549.75,,0.860049574,-1.522961894,0.610648816,252.6,-447.3,179.35
25-Nov-20,30021.9,30197.85,29132.3,29196.4,,0.586072167,-2.963170219,-2.749659415,175.95,-889.6,-825.5
24-Nov-20,29265.6,29827.8,29206.75,29737.25,,1.921026734,-0.201089334,1.611619102,562.2,-58.85,471.65
23-Nov-20,29432.8,29492.3,28852.9,29024.2,,0.202155418,-1.970250877,-1.388247126,59.5,-579.9,-408.6
20-Nov-20,28935.75,29406.7,28580.9,29236,,1.62757143,-1.226337662,1.037643745,470.95,-354.85,300.25
19-Nov-20,29302.6,29627.2,28819.55,28903.05,,1.107751531,-1.64848853,-1.363530881,324.6,-483.05,-399.55
18-Nov-20,29107.9,29784.75,29056.75,29749.85,,2.325313746,-0.17572549,2.205415025,676.85,-51.15,641.95
17-Nov-20,28792.25,29239.25,28722.9,29181.3,,1.552501107,-0.240863427,1.351231668,447,-69.35,389.05
14-Nov-20,28685.7,28752.45,28431.85,28594.3,,0.232694339,-0.8849357,-0.318625657,66.75,-253.85,-91.4
13-Nov-20,28108.7,28520.55,27703.3,28465.7,,1.465204723,-1.442258091,1.270069409,411.85,-405.4,357
12-Nov-20,28633.75,28672.9,28066.05,28278.8,,0.136726765,-1.982625398,-1.239621077,39.15,-567.7,-354.95
11-Nov-20,28713.15,29030.9,28211.1,28845,,1.10663581,-1.748501993,0.459197267,317.75,-502.05,131.85
